title,description,url,published_date,source,country,language
違法捜査で滋賀県に賠償命じる判決 再審無罪の元看護助手訴え,22年前滋賀県東近江市の病院で患者が死亡したことをめぐり殺人の罪で懲役12年の判決を受け服役後の再審やり直しの裁判で無罪になった元看護助手が訴えた裁判で大津地方裁判所は警察の捜査は違法だったとして滋賀県に3100万円余りの賠償を命じる判決を言い渡しました一方検察の捜査の違法性は認めず国への訴えは退けました,http://www3.nhk.or.jp/news/html/20250717/k10014865611000.html,2025-07-17T14:39:14,NHK,Japan,ja
大雨情報東海で激しい雨 四国では線状降水帯のおそれ,暖かく湿った空気の影響で東海では激しい雨が降り続いていて災害の危険度が高まっています四国では17日の夜遅くにかけて線状降水帯が発生して災害の危険度が急激に高まる可能性があり土砂災害や低い土地の浸水に厳重な警戒が必要です,http://www3.nhk.or.jp/news/html/20250717/k10014865241000.html,2025-07-17T16:39:18,NHK,Japan,ja
セブンアイ買収提案を撤回 カナダのコンビニ大手,セブンアイホールディングスに対し7兆円規模の買収提案をしていたカナダのコンビニ大手が16日建設的な協議が欠如しているなどとして提案を撤回すると発表しましたセブンアイは不本意だとしながらも想定されたことだとして今後単独で企業価値を向上させる取り組みを続けていく方針を明らかにしました,http://www3.nhk.or.jp/news/html/20250717/k10014865471000.html,2025-07-17T13:48:35,NHK,Japan,ja
盗品の可能性ある電線ケーブル買い取りか 業者2人逮捕 相模原,相模原市にある金属買い取り業者の工場の責任者ら2人が盗品の可能性があると知りながら電線ケーブルをおよそ60万円で買い取ったとして警察に逮捕されました調べに対しいずれも容疑を否認しているということです,http://www3.nhk.or.jp/news/html/20250717/k10014865751000.html,2025-07-17T14:15:29,NHK,Japan,ja
男性を連れ去り3か月監禁し執ように暴行か 7人逮捕 東京,都内に住む30代の男性を車で連れ去り3か月にわたって監禁して執ように暴行を加えたとして24歳の容疑者ら7人が逮捕されました警視庁は仕事上のトラブルが背景にあるとみて詳しいいきさつを調べています,http://www3.nhk.or.jp/news/html/20250717/k10014865631000.html,2025-07-17T12:52:18,NHK,Japan,ja
大相撲 九重部屋の夏合宿が中止に 相次ぐヒグマ目撃で 北海道,先週ヒグマに男性が襲われて死亡した北海道福島町ではその後もヒグマの目撃が相次いでいることから毎年町内で行われてきた大相撲九重部屋の夏合宿が中止されることになりました,http://www3.nhk.or.jp/news/html/20250717/k10014865791000.html,2025-07-17T14:55:11,NHK,Japan,ja
大相撲名古屋場所 横綱 豊昇龍が5日目から休場 左足親指のけが,大相撲の横綱 豊昇龍が左足親指のけがで名古屋場所5日目の17日から休場することになりました,http://www3.nhk.or.jp/news/html/20250717/k10014865561000.html,2025-07-17T16:43:55,NHK,Japan,ja
