title,description,url,published_date,source,country,language
"Harish Rao peddling lies, KCR running away from Banakacherla debate in Assembly Telangana Congress president",,https://www.thehindu.com/news/national/telangana/harish-rao-peddling-lies-kcr-running-away-from-banakacherla-debate-in-assembly-telangana-congress-president/article69822012.ece,2025-07-17T11:43:59,The Hindu,India,en
Prisoner admitted in private hospital shot dead in Patna,"According to the police, the deceased was identified as Chandan Mishra, a resident of Buxar district and he was a dreaded criminal and imprisoned in Beur Jail in connection with a murder case.",https://www.thehindu.com/news/national/bihar/prisoner-admitted-in-private-hospital-shot-dead-in-patna/article69822011.ece,2025-07-17T11:32:51,The Hindu,India,en
Midnight makeovers and million-dollar coats inside Hyderabads hub of aviation artistry,"Tucked away in a hangar on the edge of the airport, GMR Aero Technic is doing more than just routine maintenance its redefining what aircraft transformation looks like, one flawless coat at a time.",https://www.thehindu.com/news/cities/Hyderabad/midnight-makeovers-and-million-dollar-coats-inside-hyderabads-hub-of-aviation-artistry/article69818693.ece,2025-07-17T11:16:48,The Hindu,India,en
BMRCL ropes in private company to boost mobile connectivity on Namma Metro Phase-2 in Bengaluru,"An agreement was signed on July 14, according to BMRCL",https://www.thehindu.com/news/cities/bangalore/bmrcl-to-boost-mobile-connectivity-on-namma-metro-phase-2-in-bengaluru/article69819674.ece,2025-07-17T11:05:28,The Hindu,India,en
Seven killed in car-motorbike collision in Maharashtras Nashik,,https://www.thehindu.com/news/national/maharashtra/seven-killed-in-car-motorbike-collision-in-maharashtras-nashik/article69821973.ece,2025-07-17T11:05:17,The Hindu,India,en
Justice Sanjeev Sachdeva sworn in as Chief Justice of Madhya Pradesh High Court,Madhya Pradesh Governor Mangubhai Patel administered the oath of office to Justice Sanjeev Sachdeva at a function in the Raj Bhawan in Bhopal.,https://www.thehindu.com/news/national/madhya-pradesh/justice-sanjeev-sachdeva-sworn-in-as-chief-justice-of-madhya-pradesh-high-court/article69821922.ece,2025-07-17T11:02:34,The Hindu,India,en
"In a first, State-run bus service starts in Maoist-hit Maharashtra village","The bus service from the remote Markanar village to Aheri has been started for the first time since independence, and it is set to benefit nearly 1,200 residents",https://www.thehindu.com/news/national/maharashtra/in-a-first-state-run-bus-service-starts-in-maoist-hit-maharashtra-village/article69821878.ece,2025-07-17T10:53:05,The Hindu,India,en
NHAIs annual pass could reduce cost of travel on highways for private vehicles,,https://www.thehindu.com/news/national/tamil-nadu/nhais-annual-pass-could-reduce-cost-of-travel-on-highways-for-private-vehicles/article69816046.ece,2025-07-17T10:45:50,The Hindu,India,en
Kerala rains Orange alert for four districts on July 17,,https://www.thehindu.com/news/national/kerala/kerala-rains-orange-alert-for-four-districts-on-july-17/article69819658.ece,2025-07-17T10:42:41,The Hindu,India,en
JSK name change row Kerala High Court closes petition,,https://www.thehindu.com/news/national/kerala/jsk-name-change-row-kerala-high-court-closes-petition/article69818882.ece,2025-07-17T10:41:51,The Hindu,India,en
