title,description,url,published_date,source,country,language
Trump pleads not guilty to 34 felony counts,,https://edition.cnn.com/webview/politics/live-news/trump-indictment-stormy-daniels-news-04-03-23/index.html,2025-07-25T12:51:30.006112,CNN,USA,en
READ Trump indictment related to hush money payment,,https://cnn.it/411KYN7,2025-07-25T12:51:30.026099,CNN,USA,en
Russian authorities detain suspect over St. Petersburg cafe blast,,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html,2025-07-25T12:51:30.042089,CNN,USA,en
Hundreds of millions at risk from Chinese shopping app malware,,https://cnn.it/40OSomK,2025-07-25T12:51:30.087060,CNN,USA,en
