title,description,url,published_date,source,country,language
関税 首相両国 国益に一致 出席者合意文書 作成すべき,アメリカの関税措置をめぐる日米交渉で合意したことを受けて与野党の党首会談が行われ石破総理大臣は関税より投資という考え方で守るべきものは守り両国の国益に一致する形で合意を実現することができたと説明しました出席者からは合意内容に関する日米両政府の説明には一致しない点がみられ解釈に違いが出るおそれもあるなどとして両政府の間で合意文書を作成し公表するべきだという意見が相次いで出されました,http://www3.nhk.or.jp/news/html/20250725/k10014874041000.html,2025-07-25T14:50:09,NHK,Japan,ja
ガソリン税暫定税率 早期廃止目指す 野党8党 政策責任者ら,先の参議院選挙を受けて野党8党の政策責任者らが会談し衆参両院で与党が少数となったことを踏まえガソリン税の暫定税率を廃止する法案を国会に早期に提出し成立を目指す方針を確認しました,http://www3.nhk.or.jp/news/html/20250725/k10014874291000.html,2025-07-25T15:33:16,NHK,Japan,ja
石破首相ら執行部に事実上の退陣要求 自民 青年局,参議院選挙の結果を受けて自民党の青年局は党の信頼回復に向け責任の所在を明らかにする必要があるとして石破総理大臣をはじめ党執行部に事実上の退陣を求める文書をまとめ森山幹事長に申し入れました,http://www3.nhk.or.jp/news/html/20250725/k10014873831000.html,2025-07-25T15:38:11,NHK,Japan,ja
きょうも北日本西日本で危険な暑さ 熱中症対策の徹底を,25日も全国的に気温が上がって危険な暑さとなっているところがあり引き続き熱中症対策を徹底して下さい,http://www3.nhk.or.jp/news/html/20250725/k10014873911000.html,2025-07-25T15:26:40,NHK,Japan,ja
台風8号 今夜にも沖縄接近見込み 鹿児島で線状降水帯 可能性も,台風8号は25日夜から沖縄地方に接近する見込みです気象台は強風や高波落雷や竜巻などの激しい突風に十分注意するよう呼びかけていますまた台風などの影響で奄美地方を除く鹿児島県では今夜遅くからあすの夜遅くにかけて線状降水帯が発生し災害の危険度が急激に高まる可能性があり警戒が必要です,http://www3.nhk.or.jp/news/html/20250725/k10014874021000.html,2025-07-25T14:15:43,NHK,Japan,ja
群馬 桐生 逮捕の元副市長 県議から働きかけあった供述,群馬県桐生市役所の新庁舎の工事をめぐって入札に関する情報を設計会社に漏らすなどしたとして元副市長と県議が逮捕された事件で元副市長は県議から働きかけがあったと供述していることが警察への取材でわかりました一方で県議は黙秘しているということです,http://www3.nhk.or.jp/news/html/20250725/k10014874301000.html,2025-07-25T15:44:45,NHK,Japan,ja
静岡 伊東市長の出頭拒否で百条委 再度拒めば刑事告発検討,学歴詐称の疑いが指摘されている静岡県伊東市の田久保真紀 市長が市議会の百条委員会から求められた証人尋問への出頭を拒否したことについて委員会は25日正当な理由があるとは認められないとして今後市長に再度出頭を求め応じない場合には刑事告発を検討していることを明らかにしました,http://www3.nhk.or.jp/news/html/20250725/k10014874211000.html,2025-07-25T14:40:16,NHK,Japan,ja
